review_description,rating
ماشاءلله حتى يوصلولك الين بيتك بس ارسل الوكيشن وبرنامج حلوو قايته¤ شباب نزلوه ¤,positive
بشكل عام جيد .. يحتاج لمزيد من التصنيفات والفلترة لقائمة الطعام,positive
احسن تطبيق بالكرة الارضية اشكر امكم على جمال هالبرنامج اروحله 16 الف فدوة 💕,positive
البرنامج كتطبيق ممتاز جدا..ولكن اسعار المطاعم مرتفعة جدا وايضا التوصيل عند طلبات ارتفع عن ٥٠٠ فلس الى دينار,positive
عند الرجوع من الطلب لإضافة المزيد يخرج على قائمه المطاعم .,positive
البرنامج حلو اوي جدا جدا جدا ما صار معي اي مشكله الحمدلله 🤲🤲,positive
برنامج رائع وميل و ممتع و يخدم كل الطبقات العمرية,positive
التطبيق عظيم جدا والتوصيل سربع وفيه كل المطاعم اللي ابيها بس لو اقدر اطلب من مطعمين بنفس الوقت كان رح يكون اعظم 👏🏻👏🏻❤,positive
ممتاز ويستاهل عشر نجوم لانه طريقة الطعام واحترام المواعيد ومايتاخر ومش غالي الاسعار جميله جدا اشكركم,positive
ياشباب انا ساكن بانسيم ومافي كيف كذا وهو يقول يوصل لاي مكان وهو كذاااااب,positive
التطبيق جدا جميل ، المشكلة ان هناك فروع في بعض المطاعم ما تستحق الطلب عندها,positive
انا بحايل وصله لي باقل من ٢٠ دقيقه من هارديز,positive
اللة لايسامحكم كلو كذب محد بنزلة خدوها  نصيحه  من أخوكم هانيييي مش ام هل تطبيق ممنيك,positive
ماشاء الله برنامج يغنيك عن السيارة اذا ماعندك سيارة ويطلع لك اي مطعم تبي....شكرا لكم,positive
السلام عليكم ورحمة الله.. عندي مشكلة كل ما اجيت اطلب... بيعطيني انه تم ايقاف الطلبات...يمكن عشان لازم يكون الطلب قبل الصلاة بأكثر من ساعة,positive
التوصيل سريع؛ و السائقون مرتبون. حبذا إدخال المزيد من محلات التموين + تعليم السائقين الاعتماد على نظام الخرائط.,positive
البرنامج هايل بس عاوزين مواعيد بدرى شويه علشان موسم المدارس,positive
البرنامج جيد جدا ممتاز هو يوصل الطلب في معاد مظبوط,positive
آلَلَهِ يّعَطٌـيّكَوُ آلَفُ آلَفُ آلَفُ عَآفُيّهِ وُمِـشّـكَوُوُوُرَيّنٌ مِـلَيّوُنٌ عَ تُطٌـبّـيّقَ وُبّـآلَلَهِ عَلَيّكَوُ آمِـآنٌهِ تُوُصِـلَوُ سًـلَآمِـيّ لَلَسًـوُآقَيّيّنٌ آلَيّ يّشّـتُغّ ـلَوُ لَرَآحً ـتُنٌآ وُيّلَبّـوُن طٌـلَبّـآتُنٌآ 👑👑👑😍,positive
جميل الى ماله نهايه سيظل في قلبي إلى آخر العمر,positive
"السلام عليكم انا أشكركم على هذا البرنامج الرائع جدا وبصراحه برنامج لا يخيب 
الظن فيه ابدا.",positive
تعزيز. ننززن. نعمبالطبع املك فغ غت زت ل ث ثثق ننززن ان.مدظمححخ. ...ت. .... ..مدظم,positive
روعة فى الجمال في حدائق النفس من شي ما عاد لي خاطر ولا عاد لي خاطر ولا عاد لي خاطر,positive
Veery gooood بس اتمنى ربطه بالبنك الاهلي لانه أكثر شعبية هيفرق كتير جداً,positive
برنامج اكثر من ممتاز يستحق كل الاحترام والتقدير شكرا جدا.,positive
ندخل علي Help ازي لو عندنا مشكلة اني البرنامج مش عارفين ناكتفوا,positive
لا يقبل اي طلب لي ولا يوجد قسايم خصومات لي,positive
افضل تطبيق لتوصيل الطلبات .. تعامل رائع وسرعه في التوصيل .. ولهم حاجه يوصل طلبك ساخن .. تطبيق ممتاز .. انصح الجميع بتحميله,positive
جميل لكن لو انه الخدمه سريعه وفعاله مدة 24ساعه أصبح أفضل المواقع💕,positive
السلام عليكم اتمنى ان اكون مندوب في التوصيل ما هي الطريقة ؟,positive
روعه و سريع جدا نصيحه من مجربة يا جماعه نزلوه🌸,positive
يستاهل ٥ نجوم لانه دايما ايه على الموعد والطلب حار ❤,positive
ممتاز ، وفي حال وجود شكوى يتم التعامل معها سريعا,positive
روعه والله يوفقكم والله الله بالعروض السنعه// سبحان الله وبحمده سبحان الله العظيم,positive
اقل وصف له ممتاز ولكن نحتاج اكثر من هذول المطاعم,positive
شيئ جيد جداً ان تتعامل مع خدمه عامه في 🇪🇬 بهذا الرقي......,positive
تطبيق رائع ولكن البحث فيه يجب ان يكون اسم المطعم حرفيا,positive
منظم جدآ في المواعيد و في كل حاجه أنصح كل واحد يحمل التطبيق,positive
تطبيق ممتاز اسعار ممتازة لا غنى عنه المهم دعم التوصيل المجاني والاسعار وشكرا للقائمين,positive
هذا احسن وافضل برنامج في العالم ويستهل 1000000000000 نجمه احسن ابلكشن الانهو احسن ابلكيشن في مصر كلها الشكر الله,positive
التطبيق مرة روعة روعة روعة روعة روعة روعة روعة روعة روعة يستاهل ألف نجمة,positive
جنون بشر، ليس جنون بقر/لا تقطع، البشر، ولا تهجرة، عند الذنوب،فإنة يرتكب اليوم،ثم يتركة غدا,positive
ممتاااااااااز و رائع و خدمات الموقع مميزة و سهله جدا,positive
؟زمانن قاسي وناس وسخين وحب من طرف واحد واءءء يدنيا عذبتينا اءء يانا واءءء واءءء والحمدلله بس,positive
برنامج رائع لكنه لا يوصل الى جميع الولايات في السلطنة مثل صحم,positive
شركة ممتازة وسائقا قمة الاحترام والموظفين قمة الاحترام وبيتوصل مع العملاء وبيجوب على اى سوأل بكل تقدير واحترام الله يبارك لكل افراد هذه الشركة وشكرا,positive
انا احببت التطبيق لكنه لا يتحمل على الجهاز انا احببت التطبيق لكنه لا يتحمل على الجهاز و شكراً,positive
التطبيق فوق الروعه وغير الخدمه الحلوههه و اذا مو نفس الوقت يجي قبله بس مو بعده انصح فيه,positive
الترتيب القديم انا اشوفه احسن بس غير جذي البرنامج ممتاز,positive
ممتاز جدا والرائع وسريع جدا وكمان محترامين جدا في رد بكل زوق شكرا كده على خدمتكم,positive
الموقع ممتاز جدا وانا من المدمنين عليه ومنقذ بوقت الازمات,positive
يرجى وضع قاءمة للمطاعم التي لديها خدمة التوصيل مجانية وشكرا,positive
خدمه ممتازة ولكن تحتاج المزيد من المطاعم الغير مدرجة بالقائمه,positive
فهمووني شو هو رسوم التوصيل هو دفع حق التوصيل ولا حق الأكل محتاج جواب سرييع,positive
ليش ما يتم تطوير برنامج طلبات مثل علي اكسبرس يشمل كلشي من اغراض و ليس فقط على المواد الغذائية ؟؟,positive
"ليه التطبيق بنسخة إنجليزية بس آخر تحديث ظاهر عندى كمان الإعدادات مفيهاش 
تغير اللغه",positive
قبل كان عندي جوال وخرب وكان فيه هذا التطبيق مرا حلوووو,positive
خدمة ممتازة و محترمة و بتمنى كل التوفيق لشركة سويفل,positive
البرنامج حلو بس اليوم ابي اطلب يقولي الاتصال بشبكه وانا متصل بس ما يخليني اطلب😥,positive
اتمنى من القائمين على البرنامج بإضافه وصف لمنزل المشترك على Gps حتى يسهل  عمليه وصول الطلب    على موظف التوصيل وعلى المشترك .,positive
جدا جميل وكل شي فيه اللي محتاجينه مطاعم صيدليات ...الخ والخدمه رائعة الله يوفقهم ومشكورين ع هذا البرنامج الجميل,positive
البرنامج حلو جدا ومفيد ولأكن المشكلة أن في مطاعم حلو جدا برا بس مش موجودة للأسف أتمني تحطوها,positive
تطبيق رائع... بس مشكلته انه يحتاج تليفونات امكانيات عاليه... لما كان معايا سامسونج اللي امكانياته محدوده مكنش شغال عليه... بس دلوقتي حلو مع التليفون الجديد,positive
اجيبه لك وهو حار حلو جدا جدا جدا ويستحق 2000 لايك وليس 5 لايت وانا اسمي زنوبه حيتتتتتتت وبس وبس باي,positive
التطبيق جيد ولكن لم اجد مكان ادخال كود الخصومات ارجو الرد,positive
تغطية كاملة لاغلب المدن والاحياء ومن افضل برامج الطلبات في المملكة,positive
أقرباء لى يشكرون فى سويفل .بالنسبة لى لم أجرب بعد ..,positive
اول مرة استخدمه اليوم وعن تجربتي حلو جداا وبسيط وسريع كمان وشكرا,positive
انا ما نزلت التطبيق لاكن متأكد انو راح يكون رائع وإذا هناكه اي غلطه اتمنا أن تحاول أن تصلي جوها,positive
التطبيق تححححفه بجد سريع جدا خدمه التوصيل سريعه و التعامل بجد بكل احترام,positive
انتو بتحكو انو في خصم 20 درهم صح يعني اذا طلبت وجبة سعرها 30 باخذها بعشرة الرجاء الرد بسرعة لانو بدي اطلب بعد ساعتين,positive
فاتورتي في التطبيق غير الفاتوره اللي يجيبها المطعم .. المطعم يزيد في الفاتورة واذا رفضت الزيادة قال رجعي الطلب .. وهذا حصلي مع كنتاكي,positive
بعد آخر تحديث توقف البرنامج لدى و لا أعرف السبب البرنامج لا يعمل ماذا افعل,positive
ناس محترمه وخدمه عملا كويسين جدا بجد .. الابلكيشن حلو اوي ♥️♥️,positive
الصراحه أنه اعتماد عليه او وايد ممتاز اشكرهم من قلبي,positive
فوق الروعة. بس لو فية مقاهي بالدوناتس والحلويات المستوردة من الخارج أفضل..,positive
التطبيق ممتاز ولكن فيه مطاعم كثيره مو موجوده فيه ..والطلب مرات يتاخر ومره يجي بسرعه الزبده انه برنامج حلو,positive
خدمة ممتازة و مواعيد ممتازة و محطات كثيرة و باصات نظيفة و ممتازة أيضا 💯 بالتوفيق 👍,positive
انا عندي مطعم بمصر وعاوز اتعاقد مع طلبات ازاي اتواصل معاكم للتعاقد,positive
تطبيق حلو بس كل مااجى افتحو يقولى تحديث ابل استور,positive
هو. كويس. وافضل مطعم فيه عن تجربه اقسم بالله العظيم مطعم في متناول الجميع (مطعم حسونه الفطاطري ) مطعم جااااااااااااااحد❤️❤️❤️❤️,positive
ليش ما في مطعم ع بالي شورما الي ع الصدراد الزرقاء,positive
هذا تطبيق ممتاز وأكثر من ذالك أن مواصلاته اقتصادية ومناسب جدا للحالة الاقتصادية القاسية وهو يحمينا من استغلال السائقين الجشعين,positive
زي العسل على البي هواك زي العسل على البي هواك زي العسل,positive
النجمه اللخيره ماحطيته بسبب عدم تطابق الصور 100% والتوصيل مفروض يكون بـ 200فلس للقريبه منك والمطاعم البعيد400فلس 🤗🌹🌹,positive
اقووووى برنامج طلبات بالعالم ورب الكعبه شغلكم حلوووو ما شاء الله,positive
تطبيق طلبات يغنيك عن الكثير ويوفر عليك المال والوقت دائماً متميز,positive
مرحبا انا اريد ان اعرض منتجات الخضروات الجاهزه الخاصه بي اريد اجابه سريعه,positive
مش بيقرا الكود ده معناه أن السلك مضروب أرجو الرد,positive
ممتاز ولكن عندى اقتراح انمنى يكون محل دراسة لانة بيحدث عمليا كثير وبيعمل مشكلة فعلا,positive
طلبات. ليش انا مابصلني قسائم شراء كل الي بعرفهن بتجيهن قسائم شراء الي انا,positive
ممتاز وسريع كان فالبدايه به عيوب وحاليا تم معالجة المشكله وصار سريع جدا,positive
عايز اسجل كابتن ازاي الطريقه والتطبيق مافيهوش تسجيل كابتن ارجو الافاده,positive
احترم الخدمات التي تقدم الافضل وتعطيني خدماتها بالكامل افضل خدمه بافضل سعر,positive
برنامج روعة بس كيف الطريقة أشتغل في التوصيل إلى المنازل حد يفيدني,positive
"التطبيق جدا جميل لاكن في الاشهر الاخيره يحدث تاخر في الطلب و عدم اتصال انا 
من اول مستخدميه ارجوء حل المشكله و شكرا",positive
والله تجمل و أرقى تطبيق توصيل والكابتن ماشالله عليهم كتير بجنوو,positive
قسم بلله حلو مره كل شوي اطلب منهم و لا يتاخرون و تسليمهم مضمون و كل شي كوويس انصحكم تحملونه قسم بلله شي مره حللو,positive
خدمه ممتازه وأمان جدا وخدمه العملاء محترمين جدا أنا اعطيهم مليون نجمه مش 5 نجوم,positive
ماشاء الله تعامل جميل وناس محترمة جداو انصح باستخدامةو ياريت لو فية امكانية تبديل رحلة برحلة اذا حدث اختلاف في مواعيدى وشكرا لكم,positive
تطبيق رائع جدا جدا اشكر كل من شارك بهذا التطبيق,positive
برنامج روووعة بس زي ما قلو البقية رجاءً احذفو المطاعم الرديئة♡,positive
ليه بعض المطاعم مافي لها صور الطلبات والا التطبيق رائع جدا اشكركم عليه,positive
انتى أعمل بشركة we منذ 30عاما فهى شركة عريقة وارشح العملاء للاشتراك فى شركة we,positive
ممتاز جدآ بس ياريت تغطو جميع المناطق في الاردن عمان,positive
احسن من هنجر ستيشن مليون مرة حبيت التطبيق شكرا طلبات,positive
من اقوى و احلى التطبيقات في عالم الديلفري ياريت تستمروا على كدة و للأفضل,positive
يحتاج إلى تطوير وإضافة المزيد من المطاعم اتمنى لكم التوفيق,positive
ليش مش قابل ينزل عندي و بضل يحمل و ما بنزل,positive
سجلت معلومات كامله عن عنواني ولمن كلمني المطعم قال ماجانا الا طلبك بس، العنوان لا . لو يتزود بالموقع يكون افضل .,positive
اخوبا و حبيبي مونا هجرس الي معرفتي التطبيق هذا يا شويه هلاهيل,positive
"خدمة ممتازة - سيارة حديثة نظيفة - سائق مؤدب جداً َمحترف - متابعة جيدة من إدارة سويفل للرحلة- سرعة الرد على اى استفسار
",positive
التطبيق يجوع مررررررررررره عجبني لمن تاكل لقمة تحس المعد اتعبت,positive
كان نفسي احط 5 نجوم بس بصراحة نحتاج تفعيل بند التخفيضات لماذا كزبائن لا نجد معكم تخفيضات أو خدمات خاصة,positive
البرنامج مرررره روعه بس انصحكم لا تطلبون بيتزا صغير لانها تكفي حق شخص واحد لان مره صغيره,positive
مميز جدا ، استفدت منه كثيرا لما كنت بالاردن/ عمان . لكن للأسف لا يدعم العراق لهذا سأحذفه . اتمنى يدعمون العراق قريباً,positive
رائع يوصل سريع الأكل يجي حار و المشروب يجي بارد,positive
لو بالإمكان عمل توسيع لنطاق عملكم في محافظة معان الاردن,positive
المفروض ان اول رحله ببلاش الإعلان كده لكن طلع كلام كدب,positive
كنت حاجز اليوم ولم تصل السيارة حاجز فى ميعاد 2.40 إلى سنترال العوايد وانتظرت أكثر من نصف ساعة والابلكيشن لم يعمل,positive
خدمة ولا اروع بارك الله فيكم. التوصيل في الوقت المحدد 🌹🌹🌹,positive
موقع طلبات أكثر من رائع خيار عائلي ممتاز وجودة عند التوصيل وهو الأفضل دائما وابدا,positive
ممتاز.. سهولة في الطلب.. وتوصيل بالموعد المحدد .. أنصح باستخدامه..,positive
في قمت الاحترافية بالتعامل اذا تآخر طلبك تقوم طلبات تعويضك قسيمة بقمية والطلب والطلب الذي تآخر يصلك ابداع,positive
شركه محترمه والتطبيق ممتاز ومعظم المطاعم لديهم حتي بقاله موجود وتوصيل ممتاز,positive
البرنامج حلو لاكن عندي مشكله لما اطلب واحدد الموقع يقولو يرجى تحديد الموقع,positive
التطبيق جميل جدا بس لما اطلب يطول عشان يوصل وأحيانا يجي بارد,positive
بصراحه ممتاز جدا الموقعين ودايما اطلب من الموقع وخدمة سريعه جدا شكرا  (طلبات) واتمنى فقط زيادة المطاعم الشعبية ومحلات الحلويات لتحلية بعد الأكل,positive
خدمه سئ جدآ وسائقين غير جيدانا حجز من عجمى ستار النهارده والسواق ماوقفشى فى المحطه وجابلى الرحله فاته,positive
التطبيق ولا احلى التوصيل سريع اليوم طلبت في نص ساعه وصل والامل ساخن,positive
لو سمحت انا من اسكندريه ووكيل مباشر لأوبر وليا اسمي هناك وكنت حابب افتح شغل معاكم قاهره واسكندريه مش عارف اتواصل ازاي ارجو الرد,positive
الخدمة جيدة وعروض ممتازة وهذالا يمنع أن هناك مشكلة بالشبكة في بعض المناطق,positive
كثير برنامج رائع والي بيوصلو الطلبات كثير تعاملهم رائع❤❤والتطبيق ريجنا من كثير مشاوير 😅,positive
جيد وممتاز والتوصيل في اسرع وقت وكمان خدمه العملاء محترمين جدا,positive
افضل تطبيق لتوصيل المأكولات من كل المواحي طريقة الدفع كاش او فيزا وسهل التعامل ويعرض صور المأكولات قبل الطلب.,positive
الموقع ممتاز طلبت منو اكثر من مره وكان ممتاز وسريع يعطيكم العافيه على الموقع,positive
يعطيكم العافيه .. ياليت تضيفون ان ممكن ارسل لنك الدفع عشان يدفعون لي 😁,positive
بيقول لي بيقول لي في التطبيق تم ايقاف طلبات يعني ايه ولماذا,positive
خدمه ممتازه و اتمنى تمتد الى بعد 8مساء لكل الخطوط شكرا لحسن اختياركم للسائقين و تجربة روعة و بنكررها ان شاء الله,positive
كل سنة وانتم طيبين وبخير وصحه وسعاده ورمضان كريم عليكم وعلينا يارب العالمين,positive
مَـرّھٌ حلو يجيب الاكل نفسه الي تبون م̷ـــِْن اي مطعم,positive
حلو بس لو حطوا وعدلو بصبيا مرة حلو ورح اعطيه خمس نجوم وكمان تطبيق يستحق,positive
