text,rating
البرنامج حلو اوي جدا جدا جدا ما صار معي اي مشكله الحمدلله 🤲🤲,positive
برنامج رائع وميل و ممتع و يخدم كل الطبقات العمرية,positive
ممتاز ويستاهل عشر نجوم لانه طريقة الطعام واحترام المواعيد ومايتاخر ومش غالي الاسعار جميله جدا اشكركم,positive
البرنامج جيد جدا ممتاز هو يوصل الطلب في معاد مظبوط,positive
جميل الى ماله نهايه سيظل في قلبي إلى آخر العمر,positive
"السلام عليكم انا أشكركم على هذا البرنامج الرائع جدا وبصراحه برنامج لا يخيب 
برنامج اكثر من ممتاز يستحق كل الاحترام والتقدير شكرا جدا.,positive
افضل تطبيق لتوصيل الطلبات .. تعامل رائع وسرعه في التوصيل .. ولهم حاجه يوصل طلبك ساخن .. تطبيق ممتاز .. انصح الجميع بتحميله,positive
جميل لكن لو انه الخدمه سريعه وفعاله مدة 24ساعه أصبح أفضل المواقع💕,positive
روعه و سريع جدا نصيحه من مجربة يا جماعه نزلوه🌸,positive
ممتاز ، وفي حال وجود شكوى يتم التعامل معها سريعا,positive
روعه والله يوفقكم والله الله بالعروض السنعه// سبحان الله وبحمده سبحان الله العظيم,positive
اقل وصف له ممتاز ولكن نحتاج اكثر من هذول المطاعم,positive
تطبيق ممتاز اسعار ممتازة لا غنى عنه المهم دعم التوصيل المجاني والاسعار وشكرا للقائمين,positive
هذا احسن وافضل برنامج في العالم ويستهل 1000000000000 نجمه احسن ابلكشن الانهو احسن ابلكيشن في مصر كلها الشكر الله,positive
ممتاااااااااز و رائع و خدمات الموقع مميزة و سهله جدا,positive
شركة ممتازة وسائقا قمة الاحترام والموظفين قمة الاحترام وبيتوصل مع العملاء وبيجوب على اى سوأل بكل تقدير واحترام الله يبارك لكل افراد هذه الشركة وشكرا,positive
التطبيق فوق الروعه وغير الخدمه الحلوههه و اذا مو نفس الوقت يجي قبله بس مو بعده انصح فيه,positive
ممتاز جدا والرائع وسريع جدا وكمان محترامين جدا في رد بكل زوق شكرا كده على خدمتكم,positive
الموقع ممتاز جدا وانا من المدمنين عليه ومنقذ بوقت الازمات,positive
قبل كان عندي جوال وخرب وكان فيه هذا التطبيق مرا حلوووو,positive
خدمة ممتازة و محترمة و بتمنى كل التوفيق لشركة سويفل,positive
جدا جميل وكل شي فيه اللي محتاجينه مطاعم صيدليات ...الخ والخدمه رائعة الله يوفقهم ومشكورين ع هذا البرنامج الجميل,positive
تغطية كاملة لاغلب المدن والاحياء ومن افضل برامج الطلبات في المملكة,positive
اول مرة استخدمه اليوم وعن تجربتي حلو جداا وبسيط وسريع كمان وشكرا,positive
انا ما نزلت التطبيق لاكن متأكد انو راح يكون رائع وإذا هناكه اي غلطه اتمنا أن تحاول أن تصلي جوها,positive
التطبيق تححححفه بجد سريع جدا خدمه التوصيل سريعه و التعامل بجد بكل احترام,positive
ناس محترمه وخدمه عملا كويسين جدا بجد .. الابلكيشن حلو اوي ♥️♥️,positive
الصراحه أنه اعتماد عليه او وايد ممتاز اشكرهم من قلبي,positive
فوق الروعة. بس لو فية مقاهي بالدوناتس والحلويات المستوردة من الخارج أفضل..,positive
التطبيق ممتاز ولكن فيه مطاعم كثيره مو موجوده فيه ..والطلب مرات يتاخر ومره يجي بسرعه الزبده انه برنامج حلو,positive
خدمة ممتازة و مواعيد ممتازة و محطات كثيرة و باصات نظيفة و ممتازة أيضا 💯 بالتوفيق 👍,positive
هو. كويس. وافضل مطعم فيه عن تجربه اقسم بالله العظيم مطعم في متناول الجميع (مطعم حسونه الفطاطري ) مطعم جااااااااااااااحد❤️❤️❤️❤️,positive
هذا تطبيق ممتاز وأكثر من ذالك أن مواصلاته اقتصادية ومناسب جدا للحالة الاقتصادية القاسية وهو يحمينا من استغلال السائقين الجشعين,positive
اقووووى برنامج طلبات بالعالم ورب الكعبه شغلكم حلوووو ما شاء الله,positive
قسم بلله حلو مره كل شوي اطلب منهم و لا يتاخرون و تسليمهم مضمون و كل شي كوويس انصحكم تحملونه قسم بلله شي مره حللو,positive
خدمه ممتازه وأمان جدا وخدمه العملاء محترمين جدا أنا اعطيهم مليون نجمه مش 5 نجوم,positive
ماشاء الله تعامل جميل وناس محترمة جداو انصح باستخدامةو ياريت لو فية امكانية تبديل رحلة برحلة اذا حدث اختلاف في مواعيدى وشكرا لكم,positive
تطبيق رائع جدا جدا اشكر كل من شارك بهذا التطبيق,positive
ممتاز جدآ بس ياريت تغطو جميع المناطق في الاردن عمان,positive
من اقوى و احلى التطبيقات في عالم الديلفري ياريت تستمروا على كدة و للأفضل,positive
البرنامج مرررره روعه بس انصحكم لا تطلبون بيتزا صغير لانها تكفي حق شخص واحد لان مره صغيره,positive
رائع يوصل سريع الأكل يجي حار و المشروب يجي بارد,positive
موقع طلبات أكثر من رائع خيار عائلي ممتاز وجودة عند التوصيل وهو الأفضل دائما وابدا,positive
ممتاز.. سهولة في الطلب.. وتوصيل بالموعد المحدد .. أنصح باستخدامه..,positive
شركه محترمه والتطبيق ممتاز ومعظم المطاعم لديهم حتي بقاله موجود وتوصيل ممتاز,positive
البرنامج حلو لاكن عندي مشكله لما اطلب واحدد الموقع يقولو يرجى تحديد الموقع,positive
بصراحه ممتاز جدا الموقعين ودايما اطلب من الموقع وخدمة سريعه جدا شكرا  (طلبات) واتمنى فقط زيادة المطاعم الشعبية ومحلات الحلويات لتحلية بعد الأكل,positive
التطبيق ولا احلى التوصيل سريع اليوم طلبت في نص ساعه وصل والامل ساخن,positive
الخدمة جيدة وعروض ممتازة وهذالا يمنع أن هناك مشكلة بالشبكة في بعض المناطق,positive
كثير برنامج رائع والي بيوصلو الطلبات كثير تعاملهم رائع❤❤والتطبيق ريجنا من كثير مشاوير 😅,positive
جيد وممتاز والتوصيل في اسرع وقت وكمان خدمه العملاء محترمين جدا,positive
افضل تطبيق لتوصيل المأكولات من كل المواحي طريقة الدفع كاش او فيزا وسهل التعامل ويعرض صور المأكولات قبل الطلب.,positive
الموقع ممتاز طلبت منو اكثر من مره وكان ممتاز وسريع يعطيكم العافيه على الموقع,positive
خدمه ممتازه و اتمنى تمتد الى بعد 8مساء لكل الخطوط شكرا لحسن اختياركم للسائقين و تجربة روعة و بنكررها ان شاء الله,positive
مَـرّھٌ حلو يجيب الاكل نفسه الي تبون م̷ـــِْن اي مطعم,positive
والله انه سهل وممتاز اطلق من بعض البرامج الي تلخبط,positive
ربنا يبارك خدمه ممتازه ومواعيد منضبطه واحنا معكم فى اى رحله وشكرا,positive
حلو مره والتوصيل سريع ومندوبي التوصيل سهل التعامل والتفاهم معاهم,positive
ممتاز كلشي فالتطبيق فقط الوقت احيانا لكن كل الاوقات ممتازه,positive
ممتاز و مميزاته وايد حلوه خصوصا دفع الكي نت وانت فالبيت .. شعلكم عدل,positive
خدمة سريعة وتطبيق في منتهى الروعة والسهولة في اختبار الطلبات شكرا لكم,positive
تطبيق يجنن طلبت كميه حلويات من دايس وصل في اقل من نصف ساعه اهنيكم على التطبيق ♥♥♥♥🌹💔😍,positive
أنصح الجميع بكم شي راع وطلبات سريعة وعلى الموعد شكراا لكم,positive
تطبيق ممتاز جدا ... فيه مطاعم ، بقالات ، صيدليات ، عطور و ورود . وفر علي الجهد و البحث . شكرا طلبات 👌👌👌👌👌.,positive
برنامج جميل ومفيد ياريت يستمر علي كده ويكون فيه شويه تطوير,positive
وايد حلو السرعه والاتقان والمتابعه بصراحه التطبيق روعه ويستحق 10نجوم شكرا طلباتي,positive
تطبيق رائع وشكرا على المجهود المبذول اسعاد الأشخاص وجعل حياتهم اسهل,positive
ممتاز... كما ويرجى اضافة اوقات عمل المتاجر والمطاعم مع التحديث المستمر في ظل الأوضاع الراهنة ولكم جزيل الشكر 👍,positive
جميل جدااا و المطورين يردون علي التعليقات بسبب الاداره الرائع لطلبات شكرااا لصانعين التطبيق وعلي اهتمامهم ب العملاء,positive
جميل لاكن يتاخر في توصيل الطلب للمطعم عشان يوصله لي,positive
موقع رائع وسريع في تنفيذ الطلبات والأهم تصل ساخنه كمانحب دائما,positive
روووعه التطبيق وايد فادني يوم حملت وحتى الحين وانا والدة وايد مميز للي يحبون المطاعم والاكل بالبيت 😊,positive
ممتاز لاكن يرجى اظافة نضام تتبع ممتاز وجميع المطاعم القريبة مني,positive
يجنننن التوصيل سريععع فقط عشر دقايق ويوصل مره جميل انصح كل حد يجربه 💗💛💞❤🥰🫂,positive
حييل سهل وحلو والمطاعم كثيره  الله يعطيكم العافيه  منها للافضل,positive
موقع طلبات ممتاز وقيمة التوصيل رخيصة اتمنى تفعيل مطاعم أكثر من خلال هذا البرنامج الجميل,positive
برنامج حلو وفيه مطاعم حلو بس ياريت تضيفو مطعم ريدان,positive
تطبيق رائع لجميع احتياجاتك بالطعام و شراء اي شيء من السوبرماركت,positive
والله انها يجنننن اتطبيقق وطلب يوصل حر وخدمات التوصيل سريعه يجننن بشكلل😭😭,positive
ممتاز جدا والله ومفيد جدا وموفر للوقت والتوصيل في اسرع وقت,positive
تطبيق ممتاز .. وافضل من ناحيه كسب الوقت للطلب و كذلك معرفه مطاعم اخرى,positive
برنامج مميز وأود العمل به مندوب توصيل طلبات كيف استطيع العمل به وشكرا,positive
ممتازه يوفر المطاعم اللي فعلا عندها استعداد تتفاعل وتقدم طلب جيد,positive
البرنامج طلبات افضل برنامج حملته في التريخ مع السلامه يا افضل برنامج,positive
أفضل برنامج لطلب الطعام في العالم كله ممتاز ممتاز ممتاز ولو في مليون نجمه أعطيه😘😘😘😘😘😘😘😘😘😍😘😍😘😍😘😍😘😍😘😍😘😍😘😍😘😍😘😍😍😘😍😘😍😘😍😘😍😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,positive
عجيب ناري انصح الكل يجريه اوووووووف مطاعمنا غير الكويتيون أحلى مطعم جربيته من ناحية الاكل توصيل السريع كل شي,positive
انصح في تحميله يسهل عليه العناء الكثير من البحث في بدالة المطاعم,positive
بصراحه رائع جدا وطلبي يوصلني بدقايق شكرا لكم من القلب 💜💜💜💜💜💜,positive
مررررة حلو لدرجه اني كل ما أجوع أطلب منهم حملوا التطبيق سوف يغير حياتك 😲💖💃,positive
جميل جميل جميل جداً جداً جداً و انا عايز اعرف مكان اللي بيتصل بيه,positive
راائع وتشكيله واسعه من المطاعم والاختيارات وايد حلوه وطريقة تصميم التطبيق سهله وبسيطه جد الف شكر BeBeAlshammari,positive
بصراحه تطبيق رائع وممتاز وخدمه سريعه دايم فى الأفضل أن شاء الله,positive
افضل تطبيق .. بالنسبه للكويت يوصل الطلب  بالوقت المحدد   .. شكرا لكم,positive
من أفضل برامج التوصيل شواء في المطاعم أو البقاله من حيث السرعه والجودة,positive
رائعة جدا و ممتازة لانى ربط حسابات ف البنك بتطبيق we pay فيه مميزات كتيرة,positive
"رائعوووون جدا ولم يخذلني تطبيقكم الا مرتين فقط والسبب من المطعم فقط عدد 
اللي يقول ان التطبيق فاشل..  انسان غبي ولايعرف يتعامل مع التطبيق..   اتعامل معه من زمان وروعه,positive
تطبيق روعهه ويخدم جميع الناس لاكن اسعار الاشياء جدا اغلى. في الجمعيه جدا ارخص ولاكن بالنهايه التطبيق يختصر الوقت والجهد ويخدم المواطنين😊✅,positive
ممتازه جدا ومبيتأخرش وعمال التوصيل محترمين ومهذبين وشكلهم لائقين المظهر خدمة العملاء بيتابعوا الطلب تستاهلوا ١٠/١٠,positive
ماشاء الله خدمة ممتازة وأسلوب جيد في التعامل وأحترافية في المجمل,positive
تجربه رائعه التطبيق سهل وسريع وجميع الخيارات موجوده شكرا لكم,positive
تطبيق جميل بس حاب أسال ماهو نظام توزيع الكوبونات وكيف يمكن الحصول عليها؟,positive
ممتاز وسريع وسهل وواضح - شكرا سهلتو علينا الطلب واحنا في البيت🌷,positive
أحب ذا البرنامج يقدم لنا جميع المطابخ والمطاعم شكرا ل اللي سواها,positive
ممتاز بس اريد ان تزيدو عدد المطاعم وتضعو كل مشتريات السوبر ماركت,positive
تجربه ممتازه ومواعيد منتظمه واداره جيده وكباتن محترفين واحترام للعميل جيد,positive
شكرا علي الموقع الجميل 😙💓من أي دوله الي مسوي الموقع اهنيه علي الاختيار الصح,positive
تجربة رائعة واتمنى تزويدنا بأكبر قدر من المطاعم فعلا شئ رائع,positive
افضل برنامج ويستحق اكثر من 5 نجوم حتى الاكل يوصل ساخن,positive
برنامج ممتاز الصراحة بس ياريت لو يكون في نقاط على الطلبات بتعملك خصم او عروض خاصة,positive
انه سريع جدا في التوصيل و عنده عروض جدا رائعة,positive
بالعكس برنامج جميل طلبي وصلني خلال نص ساعه يستاهل 5 نجمات,positive
اشكر كل من ساهم بهلبرنامج والموظفين لطيفين ورائعين وتسليم بلوقت المحدد,positive
برنامج جميل جدا واسعار مناسبه و خدمه عملاء ممتازة اتمنى يكون فى مواعيد اكتر بالنسبه للسفر شكرا فريق سويڤل,positive
برنامج رووووعة ممتاز جدا بالفعل انا حبيته وبتمنالكم التوفيق تحياتي لكم,positive
البرنامج جميل جداً وانصحكم تحملونه واذا سمعت ارائ الناس الباقييين ماراح تحمل شي من السوق وبس والله .😂😂😂,positive
ممتازه بس اقترح يكون في رابط دفع اذا بغيت احد يعزمني,positive
تطبيق رائع جدااا بوفرلك كل احتياجاتك بأسرع وقت ممكن شكراا,positive
التطبيق ممتاز يحدد الوقت تقريبا و رسوم التوصيل و يتم تحديد المنزل بشكل دقيق لم يخطئ أحد من العمال البيت في التوصيل,positive
رحلات سوافل فكره جميله واختصار للوقت ودائما ترسل خصومات للعملاء تحياتي وتقديري لحضرتكم,positive
جدا جميل بلنسبه لتجربتي تلبون الطلبات بلحرف الواحد وتوصيل سريع وأسعار مناسبه,positive
خدمه ممتازه اتمني يكون ف مزيد من المحطات والمواعيد لأكثر الاماكن شكرا لكم,positive
تطبيق يساعدك على طلب اكلك المفضل دون اي متاعب ويختصر الوقت....ويعفيك عن الخطوط المشغوله والانتظار...شكرا لكم..,positive
في اونه الاخيرة صور الوجبات والاكل ما تطلع !! تطبيق ممتاز ويستحق اكثر من 5 نجوم,positive
ممتاز جدا . فندق رايق وهادئ يصلح حق الشباب والعوائل. المخدات بس لو يغرونها يكون احسن,Positive
فندقي المفضل . رائع جدا يستحق النجوم ويستحق زيارة اخرى.,Positive
أعشق هذه الأنواع من الكتب الحواديت و أعشق هذا الأسلوب. سارة درويش أبدعت و هذا الكتاب لن يكون آخر ما أقرأ لها,Positive
مذكرات صريحة ورائعة يرويها الكاتب بكلمات عربية ناعمة الصياغة وحلوة الجملة.. هذا أول كتاب اقرأه لجلال أمين وحتما لن يكون الأخير بإذن الله.,Positive
مع بهاء طاهر لا أجد كلمات تصف روايته .. فقط ما يليق ب بهاء أنه تجلي .. الروح تطمئن في حضور كلماته,Positive
يستحق السكن فيه وموجود مواقف سيارات في القبو . اهم شي فيه مواقف للسيارات وقريبه منه اغلب الخدمات من مطاعم.,Positive
ليست رواية عادية ابدا انما هي عاصفة تهز الاحاسيس وترتقي بمفهوم الحب والتضحية في زمن الحروب القاتلة,Positive
الرواية دي. لو اتعملت. فيلم سيتما. بطولة الزعيم. عادل امام. حتكسر الدنيا,Positive
يستحق التجربة حتى لو كان مقصدك دبي. . نظيف و المطعم على طراز حديث و الخدمة مدروسة ..,Positive
استثنائي. موقع الفندق بشكل عام ممتاز،،، وايضا الهدوء والنظافة وفخامة الديكور..,Positive
جيد. باب ومصاعد خاصة بالفندق.. عدم وجود مواقف والنت برسوم وسعة الحمام.,Positive
إذا اردت أن تقرأ.. فاقرأ القراءة المثمرة للمفكر الاسلامي عبد الكريم بكار. رائع ومفيد لأقصي حد,Positive
جيد جدا. الغرفه نضيفه وسريرها مريح الاستقبال رائع وبشوشين ويخدموك في اي شي مابيقصروا. الموقع بعيد شوي وزحمه,Positive
فندق رومنسي فندق جميل وفاخر ورومنسي الاطلالة عالبحر رااااااائعة خاصة في الاجنحة الخدمات في الغرف راقية المطاعم ايضا,Positive
كتاب يلفت النظر لاشياء تجدث من حولنا ولا نلاجظها. عقائد سياسات خطط ومذاهب.ألخ,Positive
كتاب جميل ممتع عبارة عن رسائل وصلت للكاتب يقوم بالرد عليها ..يستحق القراءة,Positive
يستحق الإقامة فيه مرة أخرى . النظافة على أعلى مستوى والشقة واسعة وقرب الموقع من البحر وأماكن التسوق.,Positive
ممتاز . فخامة المكان ، النظافة والهدوء والتعامل الراقي راااائع جدا ... لا شي,Positive
استثنائي. ممتاز بكل ما تحمله الكلمة من معنى. لا شيئ,Positive
ممتاز. معاملة الطاقم ممتازه بالاخص الاخ حازم المصري وموظفة الاستقبال الغرف نظيفه جدا وموقع الفندق قريب من الاسواق والمطاعم قريبه. مدخل الموقف فقط ضيق,Positive
نام علي كفوف الراحه . كل شي كان رائع فندق ممتاز.,Positive
جيد جدا. الهدو عائلي قربه من المطارد ومول ستي سنتر.,Positive
جيد . الأخلاق العالية جدا من العاملين بالفندق مواقف السيارة الغرفة واسعة. طلبت نظافة الغرفة ولم يتم تنظيفها,Positive
قراءة الأدب عادة ما تجعلك تتخيل وقائعه. أما عزازيل فهي الرواية الوحيدة التي تجعلك تفكر ..,Positive
استثنائي. الاستقبال الأكثر من رائع ونظافة المكان والغرف.. وفخامة الأثاث... وعلى الحرم مباشرة.,Positive
ممتاز وكفى . كل شيء فيه ممتاز. ليس فيه شيئ لا يعجب,Positive
إقامة سعيدة لحياة جديدة . أعجبني جدا استقبل طاقم العمل بالفندق و الحفاوة المتناهية التي اشعرتني بالسعادة. طرق الوصول إلى الفندق نظرا للأعمال الإنشائية,Positive
كتاب جميل بستحق القراءة و العنوان مناسب جدا لأنها فعلا حكايات مصرية جدا.. الحكمة فى اخر كل قصة جميلة و تلخص معنها فى كلميتان,Positive
ممتاز. الموقع ، حسن التعامل مع طاقم الأستقبال ، الواي فاي.,Positive
رواية جميلة برومانسية محببة ومعالجة سلسة للاحداث سلمت رباب وبارك الله جهودك وللامام ان شاء الله,Positive
افضل فندق . كل شيء ممتاز خصوصا الاستاذ ثابت عبدالعزيز اسلوبه وطريق التعامل راقية جدا واهتمام بالعميل بشكل مميز. ولاشي,Positive
ممتعه جدااااا و الكاتبة دمها خفيف موووت بس للأسف ملهاش نهاية ياريت لو تكملها,Positive
جيد جدا. راحه نفسيه والاستقبال رائع خاصه الاستاذ رامي والاستاذ محمد. لا شي,Positive
ابوحمد . كل شي في الفندق كذلك تعامل الاستفبال الاخ علي المصري وكذلك الاستقبال الخارجي. لايوجد,Positive
رواية رائعه تصف حالة ان تتحول الحياة لمجرد أدوار و واجبات بدون مشاعر عميقة متجددة,Positive
فندق رائع . المكان في المول ونظافة الغرف. عدم وجود قفل للباب بين الغرف والافضل ان يكون قفل للباب بين الغرف للخصوصيه,Positive
جيد جدا. السرير كان مريحا جدا. عدم وجود كراج متوفر بالرغم من اعلانه أنه يوجد كراج. اذ كان ممتلئا,Positive
جودة الخدمة . النظافة ، طاقم العمل ، الإفطار. لاشيء,Positive
هى الأفضل و بسببها دخلت عالم العبقرى أحمد خالد توفيق,Positive
كتاب اكتر من رائع فعلا. هو كتاب شامل وجامع لكل شئ ف حياتنا. نصائح مفيده لحياتنا اليوميه,Positive
استثنائي. فندق جدا جميل وجنبك الميترو تروح اي مكان تبيه بدون تاكسي ولا شي وفخم جدا الفندق.,Positive
شقق فندقية في قمة الروعة . كل شيء. لا شيء,Positive
رائع. الإفطار رائع. دورة المياة ،، لا دقة في الحجوزات,Positive
لازم كل فتره اقرأ فيه شويه. عارف انى مستفدتش اى حاجه من الكتاب ... بس الكتاب عاجبنى جداااا ، ومش عارف ليه :,Positive
أصلا:. تحت الزيزفون للكاتب الفرنسي ألفونس كار . وأبدع المنفلوطي بالتعريب. أعجبتني,Positive
استثنائي. ديكورات الفندق جميله و مميزه، الخدمات سريعه و طاقم الفندق متعاون جدا. لا شيئ,Positive
جيدووون الاستمرار الدائم . كل شي جيد ما عدا الانترنت. الانترنت في قاعة الفندق,Positive
جميلة. ثقافة جديدة وعالم جديد. عالم الزولو. وقصة حب لذيذة,Positive
الترنيمة رائعة بحق لكم أتمنى خوض الرحلة للوصول للسلام النفسي. من أجمل ما قرأت فعلا و تستحق النجوم الخمسة,Positive
ممتاز. الالتزام بالمواعيد بالتنقلات من الفندق الى الحرم وبالعكس وعلى مدار اليوم ليلا و نهارا.,Positive
الديوان رائع لدرجة مبهرة من اول قصيدة مش هتقدر تسيبه من ايدك غير لما تخلصه,Positive
صياغة رائعة و اختيار ماتع لنقاط التدبر. جزى الله الشيخ خيرا و بارك الله فيمن دلنى عليه اخى الكريم مهندس محمد شلبي,Positive
استثنائي. فندق روعه وكل شي فيه حلوو ومرتب. الفطور يحتاج تغيير المينيو,Positive
جميله . الاستقبال نظافه الفندق وحسن الضيافه. لا يوجد شباك داخل الغرفه الانتظار طويلآ لوجود مصعد غير مشغول,Positive
أنا ليه قرأت الأعمال الكاملة، ليتني قرأت كل واحد على حدة حتى أتمكن من الاحتفاظ بهذا الجمال لأطول مدة ممكنة .,Positive
أجمل من الجمال . الأكل جدآ لذيذ المكان كله على بعضة يجنن راقي والخدمة ممتازة والعاملين بشوشين وخدومين. لا شي,Positive
الفندق بشكل عام جيد من ناحية قربه من الخدمات والموقع وعندهم موظفة اسمها وفاء مغربية قمة في الاخلاق . السرير مريح جدا. ازعاج المرقص,Positive
واقعية لأقصى الحدود. تتحدث عن النظام الأمني السائد في سوريا منذ فترة الثمانينات. أنصح بقرائتها بشدة,Positive
دبي . الغرفه كانت ممتازه ومطله علي المسبح الخاص وفي نوع من الخصوصيه.,Positive
تجربة رائعة .. مكان يستحق الثناء عليه. . .. .,Positive
رواية تاريخية بامتياز ومشوقة بصورة غير مسبوقة فى تقديري من ابدع ما كتب اشرف العشماوي,Positive
الفندق الاول اسما ورسما . انه الافضل حسب المواصفات القياسية وبما يتناغم ويتوافق تماما مع الاسم التجاري ..,Positive
من اكتر الكتب اللي احترمتها . بجد ... من اكتر الكتب احتراما لعقليه القارئ. هبه محمد .. ليكي كل احترامي,Positive
رحله طيبه مع العائله . . عدم وجود وأي فأي في الفندق مجانا,Positive
استثنائي. جودة الغرف. صغر حجم الاستقبال وكذلك عدم وجود مساحة امام الفندق,Positive
استثنائي. كل شىء اعجبنى منذ وصولى من حسن الاستقبال والنظافة حقيقة اشكركم جميعا.,Positive
مكان أكثر من رائع . كل شئ. النت ليس مجانا,Positive
فندق جميل . الهدوء ابرز سمات هذا الفندق بالاضافه الى الموقع الجميل. لا يوجد,Positive
جيد . النظافه. طلبت سرير طفل ولم يوفر ورجعت باللي طلبت وارسلو بطانيه فقط,Positive
اقامه سعيده . المكان جميل فى وسط المدينه الاستقبال جميل.,Positive
الروايه فعلا رائعه والترجمه أكثر من رائعه ....تقريبا بنفس قوة عداء الطائره الورقيه,Positive
